StateCode,StandardComponentId,TwoParentFamilyMaxDependentsRule,SingleParentFamilyMaxDependentsRule,DependentMaximumAgRule,ChildrenOnlyContractMaxChildrenRule,DomesticPartnerAsSpouseIndicator,SameSexPartnerAsSpouseIndicator,MinimumTobaccoFreeMonthsRule,MarketCoverage,DentalOnlyPlan
GA,68806GA0010002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,Individual,Yes
GA,68806GA0010003,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,Individual,Yes
IN,17575IN0830004,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,17575IN0840003,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,Individual,Yes
IN,17575IN0860003,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,Individual,Yes
IN,17575IN0860004,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,Individual,Yes
IN,17575IN0870003,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,17575IN0890003,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,17575IN0890004,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,17575IN0900003,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,Individual,Yes
IN,17575IN0920003,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,Individual,Yes
IN,17575IN0920004,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,Individual,Yes
IN,20855IN0010059,3 or more,3 or more,26,3 or more,No,No,6,SHOP (Small Group),No
IN,20855IN0040035,3 or more,3 or more,26,3 or more,No,No,6,SHOP (Small Group),No
IN,20855IN0040036,3 or more,3 or more,26,3 or more,No,No,6,SHOP (Small Group),No
IN,20855IN0040037,3 or more,3 or more,26,3 or more,No,No,6,SHOP (Small Group),No
IN,21029IN0010001,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,21029IN0010002,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,28856IN0160001,3 or more,3 or more,24,3 or more,Yes,Yes,Not Applicable,Individual,Yes
IN,28856IN0160002,3 or more,3 or more,24,3 or more,Yes,Yes,Not Applicable,Individual,Yes
IN,28856IN0170001,3 or more,3 or more,24,3 or more,Yes,Yes,Not Applicable,Individual,Yes
IN,28856IN0170002,3 or more,3 or more,24,3 or more,Yes,Yes,Not Applicable,Individual,Yes
IN,57874IN0060001,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,57874IN0060002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,59560IN0010002,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,59560IN0020002,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,59560IN0040002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,59560IN0060002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,28856IN0210001,3 or more,3 or more,24,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,28856IN0210002,3 or more,3 or more,24,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,28856IN0210003,3 or more,3 or more,24,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,28856IN0210004,3 or more,3 or more,24,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,33380IN0020001,3 or more,3 or more,26,3 or more,No,No,6,Individual,No
IN,33380IN0020002,3 or more,3 or more,26,3 or more,No,No,6,Individual,No
IN,33380IN0020003,3 or more,3 or more,26,3 or more,No,No,6,Individual,No
IN,33380IN0020004,3 or more,3 or more,26,3 or more,No,No,6,Individual,No
IN,33380IN0020005,3 or more,3 or more,26,3 or more,No,No,6,Individual,No
IN,33380IN0020006,3 or more,3 or more,26,3 or more,No,No,6,Individual,No
IN,33380IN0020007,3 or more,3 or more,26,3 or more,No,No,6,Individual,No
IN,34537IN0010001,1,2,25,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,34537IN0010002,1,2,25,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,34537IN0010003,1,2,25,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,34537IN0010004,1,2,25,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,34537IN0010005,1,2,25,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,34537IN0010006,1,2,25,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,34537IN0010007,1,2,25,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,34537IN0010008,1,2,25,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,34537IN0010009,1,2,25,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,34537IN0010010,1,2,25,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
IN,67920IN0480001,3 or more,3 or more,25,3 or more,No,No,6,SHOP (Small Group),No
IN,67920IN0480002,3 or more,3 or more,25,3 or more,No,No,6,SHOP (Small Group),No
IN,67920IN0480003,3 or more,3 or more,25,3 or more,No,No,6,SHOP (Small Group),No
IN,67920IN0480004,3 or more,3 or more,25,3 or more,No,No,6,SHOP (Small Group),No
GA,20544GA0200020,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200021,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200022,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200023,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200024,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200025,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200026,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200027,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200028,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200029,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200030,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200031,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200032,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200033,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200034,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200035,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200036,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200037,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200038,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200039,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200040,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200041,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200042,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200043,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200044,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200045,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200046,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200047,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,20544GA0200048,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,22500GA0010001,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,Individual,Yes
GA,22500GA0020001,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,Individual,Yes
GA,22500GA0030001,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,22500GA0040001,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,28167GA0010001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,Individual,Yes
GA,28167GA0010004,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,Individual,Yes
GA,28167GA0010006,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,Individual,Yes
GA,28167GA0020001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,28167GA0020004,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,28167GA0020006,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,31291GA0010001,3 or more,3 or more,Not Applicable,3 or more,No,No,Not Applicable,Individual,Yes
GA,31291GA0010002,3 or more,3 or more,Not Applicable,3 or more,No,No,Not Applicable,Individual,Yes
GA,31291GA0020001,3 or more,3 or more,Not Applicable,3 or more,No,No,Not Applicable,Individual,Yes
GA,31291GA0020002,3 or more,3 or more,Not Applicable,3 or more,No,No,Not Applicable,Individual,Yes
GA,31291GA0030001,3 or more,3 or more,Not Applicable,3 or more,No,No,Not Applicable,SHOP (Small Group),Yes
GA,31291GA0030002,3 or more,3 or more,Not Applicable,3 or more,No,No,Not Applicable,SHOP (Small Group),Yes
GA,31291GA0040001,3 or more,3 or more,Not Applicable,3 or more,No,No,Not Applicable,SHOP (Small Group),Yes
GA,31291GA0040002,3 or more,3 or more,Not Applicable,3 or more,No,No,Not Applicable,SHOP (Small Group),Yes
GA,37001GA0540001,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,Individual,Yes
GA,43802GA0040001,3 or more,3 or more,25,3 or more,No,No,6,Individual,No
GA,43802GA0040002,3 or more,3 or more,25,3 or more,No,No,6,Individual,No
GA,43802GA0040003,3 or more,3 or more,25,3 or more,No,No,6,Individual,No
GA,43802GA0040004,3 or more,3 or more,25,3 or more,No,No,6,Individual,No
GA,43802GA0040005,3 or more,3 or more,25,3 or more,No,No,6,Individual,No
GA,43802GA0040006,3 or more,3 or more,25,3 or more,No,No,6,Individual,No
GA,43802GA0040007,3 or more,3 or more,25,3 or more,No,No,6,Individual,No
GA,43802GA0040008,3 or more,3 or more,25,3 or more,No,No,6,Individual,No
GA,43802GA0040009,3 or more,3 or more,25,3 or more,No,No,6,Individual,No
GA,43802GA0040010,3 or more,3 or more,25,3 or more,No,No,6,Individual,No
GA,45495GA0010002,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0010004,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0010007,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0010008,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0010009,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0010012,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0010013,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0010014,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0010015,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0010016,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0010017,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0020002,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0020004,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0020007,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0020008,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0020009,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0020012,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0020013,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0020014,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0020015,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0020016,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0020017,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0030002,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0030004,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0030007,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0030008,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0030009,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0030012,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0030013,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0030014,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0030015,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0030016,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,45495GA0030017,3 or more,3 or more,25,1,No,No,6,Individual,No
GA,47783GA0510001,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510002,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510003,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510004,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510005,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510006,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510007,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510008,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510009,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510010,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510011,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510012,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510013,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510014,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510015,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510016,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510017,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510018,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510019,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510020,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510021,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510022,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510023,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510024,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510025,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510026,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510027,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510028,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510029,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510030,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510031,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510032,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510033,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510034,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510035,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510036,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510037,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510038,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510039,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,47783GA0510040,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,49046GA0410015,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,49046GA0410016,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,49046GA0410017,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,49046GA0410018,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,49046GA0410019,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,49046GA0410020,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,49046GA0410021,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,49046GA0410022,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,49046GA0410023,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,49046GA0410024,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,49046GA0420004,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420005,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420006,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420007,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420008,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420009,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420010,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420011,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420012,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420013,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420014,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420015,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420016,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420017,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420018,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420019,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420020,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420021,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420022,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420023,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420024,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420025,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420026,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420027,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420028,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420029,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420030,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420031,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420032,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420033,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420034,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420035,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420036,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420037,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420038,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420039,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420040,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420041,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420042,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420043,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420044,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420045,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420046,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420047,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420048,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420049,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420050,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,49046GA0420051,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),No
GA,50491GA0020001,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,50491GA0020002,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,50491GA0020003,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,50491GA0020004,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,50491GA0020005,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,50491GA0020006,3 or more,3 or more,25,3 or more,Yes,Yes,6,Individual,No
GA,50491GA0030001,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,Individual,Yes
GA,50662GA0010001,3 or more,3 or more,30,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,50662GA0010002,3 or more,3 or more,30,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,50662GA0010003,3 or more,3 or more,30,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,50662GA0010004,3 or more,3 or more,30,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,50662GA0010005,3 or more,3 or more,30,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,50662GA0010006,3 or more,3 or more,30,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,50662GA0010007,3 or more,3 or more,30,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,50988GA0210001,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,50988GA0220001,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,63411GA0510004,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,Individual,Yes
GA,63411GA0520003,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,63411GA0540003,3 or more,3 or more,25,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,68806GA0010004,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,Individual,Yes
GA,68806GA0020001,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,68806GA0020002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,68806GA0020003,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,68806GA0020004,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,69677GA0030001,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,69677GA0030002,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,73231GA0020001,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,Individual,Yes
GA,73231GA0020002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,Individual,Yes
GA,73231GA0030001,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,Individual,Yes
GA,73231GA0030002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,Individual,Yes
GA,73231GA0040001,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,73231GA0040002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,73231GA0060001,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,Individual,Yes
GA,73231GA0060002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,Individual,Yes
GA,73231GA0070001,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,Individual,Yes
GA,73231GA0070002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,Individual,Yes
GA,73231GA0080001,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,Individual,Yes
GA,73231GA0080002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,Individual,Yes
GA,73231GA0090001,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,73231GA0090002,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,73231GA0090003,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,73231GA0090004,3 or more,3 or more,26,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,78196GA0030001,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,78196GA0030002,3 or more,3 or more,21,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,83495GA0040001,3 or more,3 or more,25,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,83495GA0040002,3 or more,3 or more,25,1,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,83502GA0010001,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
GA,83502GA0010002,3 or more,3 or more,Not Applicable,3 or more,Yes,Yes,Not Applicable,SHOP (Small Group),Yes
